series_id,forecast_timestamp_utc,horizon_steps_15m,energy_wh_pred,cfp_g_pred
site_f5bcf8a88a,2025-11-19T23:00:00+00:00,4,23.0010625,0.82803825
site_f5bcf8a88a,2025-11-19T23:30:00+00:00,4,44.13389063,1.58882006
site_f5bcf8a88a,2025-11-19T23:45:00+00:00,4,21.33509375,0.76806337
site_f5bcf8a88a,2025-11-20T00:00:00+00:00,4,20.86461719,0.75112622
site_f5bcf8a88a,2025-11-20T00:15:00+00:00,4,19.54313281,0.70355278
site_f5bcf8a88a,2025-11-20T00:30:00+00:00,4,57.14235937,2.05712494
site_f5bcf8a88a,2025-11-20T00:45:00+00:00,4,78.5115,2.826414
site_f5bcf8a88a,2025-11-20T01:00:00+00:00,4,117.07165104,4.21457944
site_f5bcf8a88a,2025-11-20T01:15:00+00:00,4,126.56650521,4.55639419
site_e726c7cce5,2025-11-20T01:30:00+00:00,4,55.25139149,1.98905009
site_f5bcf8a88a,2025-11-20T01:30:00+00:00,4,133.81485764,4.81733488
site_f5bcf8a88a,2025-11-20T01:45:00+00:00,4,181.32539583,6.52771425
site_f5bcf8a88a,2025-11-20T02:00:00+00:00,4,367.65974913,13.23575097
site_f5bcf8a88a,2025-11-20T02:15:00+00:00,4,230.79447569,8.30860112
site_f5bcf8a88a,2025-11-20T02:30:00+00:00,4,554.68801215,19.96876844
site_f5bcf8a88a,2025-11-20T02:45:00+00:00,4,521.43004427,18.77148159
site_f5bcf8a88a,2025-11-20T03:00:00+00:00,4,836.39988889,30.110396
site_f5bcf8a88a,2025-11-20T03:15:00+00:00,4,696.20274913,25.06329897
site_ad3433ffac,2025-11-20T03:30:00+00:00,4,848.45209983,30.54427559
site_e726c7cce5,2025-11-20T03:30:00+00:00,4,613.16880512,22.07407698
site_f5bcf8a88a,2025-11-20T03:30:00+00:00,4,1187.93149566,42.76553384
site_f5bcf8a88a,2025-11-20T03:45:00+00:00,4,1277.28872309,45.98239403
site_f5bcf8a88a,2025-11-20T04:00:00+00:00,4,1364.33107292,49.11591862
site_ad3433ffac,2025-11-20T04:15:00+00:00,4,16.69289063,0.60094406
site_f5bcf8a88a,2025-11-20T04:15:00+00:00,4,1617.59450347,58.23340213
site_ad3433ffac,2025-11-20T04:30:00+00:00,4,8.83431424,0.31803531
site_e726c7cce5,2025-11-20T04:30:00+00:00,4,12.59185286,0.4533067
