bucket_1h,site_id,records,energy_wh,cfp_g,work,ncores,ncores_per_record
2025-11-19 23:00:00,site_f5bcf8a88a,4,88.47004687500001,3.1849216875,167680,512,128.000000
2025-11-20 00:00:00,site_f5bcf8a88a,9,176.06160937500002,6.3382179375,383232,1152,128.000000
2025-11-20 01:00:00,site_e726c7cce5,2,55.25139149305555,1.98905009375,25566.967741935485,64,32.000000
2025-11-20 01:00:00,site_f5bcf8a88a,27,558.7784097222222,20.11602275,1021427.2,3008,111.407407
2025-11-20 02:00:00,site_f5bcf8a88a,87,1674.57228125,60.284602125,3388601.5999999996,9344,107.402299
2025-11-20 03:00:00,site_ad3433ffac,27,848.452099826389,30.544275593750005,609643.8857142858,2292,84.888889
2025-11-20 03:00:00,site_e726c7cce5,15,613.1688051215277,22.074076984374997,263101.05069124425,640,42.666667
2025-11-20 03:00:00,site_f5bcf8a88a,222,3997.822856770834,143.92162284375001,8676288,24512,110.414414
2025-11-20 04:00:00,site_ad3433ffac,2,25.52720486111111,0.918979375,29222.4,96,48.000000
2025-11-20 04:00:00,site_e726c7cce5,4,48.46809635416666,1.7448514687499999,51579.87096774194,128,32.000000
2025-11-20 04:00:00,site_f5bcf8a88a,385,6419.604744791666,231.1057708125,14894521.6,41728,108.384416
2025-11-20 05:00:00,site_ad3433ffac,3,23.752346354166665,0.85508446875,71076.57142857143,256,85.333333
2025-11-20 05:00:00,site_e726c7cce5,3,34.04132335069444,1.2254876406250002,43404.3870967742,96,32.000000
2025-11-20 05:00:00,site_f5bcf8a88a,462,7344.797106770833,264.41269584375,16876825.599999998,48384,104.727273
2025-11-20 06:00:00,site_ad3433ffac,57,408.0328654513889,14.689183156250001,1141747.2,4320,75.789474
2025-11-20 06:00:00,site_e726c7cce5,77,826.4102547743056,29.750769171875,1107669.1111520738,2736,35.532468
2025-11-20 06:00:00,site_f5bcf8a88a,598,9247.90449826389,332.92456193749996,22792755.2,66752,111.625418
2025-11-20 07:00:00,site_ad3433ffac,133,562.33353125,20.244007124999996,2867789.714285714,8712,65.503759
2025-11-20 07:00:00,site_e726c7cce5,292,1259.5305590277776,45.34310012499999,4604003.214746542,12064,41.315068
2025-11-20 07:00:00,site_f5bcf8a88a,643,5532.60534548611,199.1737924375,24651283.2,72192,112.273717
2025-11-20 08:00:00,site_ad3433ffac,398,1319.533814236111,47.503217312500006,8091746.285714286,28752,72.241206
2025-11-20 08:00:00,site_e726c7cce5,887,3900.2554140624998,140.40919490625,13534082.15889401,35232,39.720406
2025-11-20 08:00:00,site_f5bcf8a88a,798,4880.943649305555,175.71397137500003,29889465.6,88832,111.318296
2025-11-20 09:00:00,site_ad3433ffac,1657,1926.484199652777,69.35343118750001,35537237.48571429,128896,77.788775
2025-11-20 09:00:00,site_e726c7cce5,2235,36477.07687282987,1313.174767421875,33337139.984516133,84176,37.662640
2025-11-20 09:00:00,site_f5bcf8a88a,2453,14537.68578385417,523.35668821875,87439097.6,266112,108.484305
2025-11-20 10:00:00,site_ad3433ffac,980,1573.3307960069444,56.63990865625001,22487065.14285714,84116,85.832653
2025-11-20 10:00:00,site_e726c7cce5,2334,42309.64919748264,1523.147371109375,36507869.711336404,93616,40.109683
2025-11-20 10:00:00,site_f5bcf8a88a,731,6851.6470885416675,246.6592951875,27242227.200000003,78848,107.863201
2025-11-20 11:00:00,site_ad3433ffac,962,1456.9807500000002,52.451307,21656312.228571422,83252,86.540541
2025-11-20 11:00:00,site_e726c7cce5,1646,17290.256787326387,622.44924434375,25884520.27576037,67120,40.777643
2025-11-20 11:00:00,site_f5bcf8a88a,1080,7381.8324565972225,265.7459684375,40090336,118272,109.511111
2025-11-20 12:00:00,site_ad3433ffac,1028,1940.665420138889,69.863955125,23527767.31428571,82664,80.412451
2025-11-20 12:00:00,site_e726c7cce5,960,4462.898831163195,160.66435792187497,15216032.04718894,37152,38.700000
2025-11-20 12:00:00,site_f5bcf8a88a,1953,10111.304916666668,364.00697699999995,68423008,217536,111.385561
2025-11-20 13:00:00,site_ad3433ffac,1159,1317.884338541667,47.4438361875,26967328,95060,82.018982
2025-11-20 13:00:00,site_e726c7cce5,847,6112.4756718749995,220.04912418749998,12835018.19281106,31152,36.779221
2025-11-20 13:00:00,site_f5bcf8a88a,1000,1147.6057256944443,41.313806125,35647065.6,107136,107.136000
2025-11-20 14:00:00,site_ad3433ffac,998,1376.7091067708334,49.56152784375,22559796.114285715,79992,80.152305
2025-11-20 14:00:00,site_e726c7cce5,1153,10590.285764322916,381.250287515625,17679044.19981567,41056,35.607979
2025-11-20 14:00:00,site_f5bcf8a88a,1579,1106.1864904513889,39.82271365625,56431936.00000001,162624,102.991767
2025-11-20 15:00:00,site_ad3433ffac,636,944.0102282986111,33.98436821875,13871612.799999997,49888,78.440252
2025-11-20 15:00:00,site_e726c7cce5,761,10818.25305685764,389.457110046875,11282761.986359447,25872,33.997372
2025-11-20 15:00:00,site_f5bcf8a88a,2671,1896.1589010416674,68.2617204375,89080864.00000003,274112,102.625234
2025-11-20 16:00:00,site_ad3433ffac,781,2777.789260416667,100.00041337500004,17551020.8,58956,75.487836
2025-11-20 16:00:00,site_e726c7cce5,488,1524.569592013889,54.884505312499996,7078553.611797234,15360,31.475410
2025-11-20 16:00:00,site_f5bcf8a88a,1420,2024.343543402778,72.87636756250001,44927276.8,150080,105.690141
2025-11-20 17:00:00,site_ad3433ffac,1521,1137.1549635416668,40.9375786875,37267488.45714286,115324,75.821170
2025-11-20 17:00:00,site_e726c7cce5,309,386.72769748263886,13.922197109374999,4533222.3705069125,10160,32.880259
2025-11-20 17:00:00,site_f5bcf8a88a,856,376.3665060763889,13.549194218750001,28275289.599999994,90944,106.242991
